Job_Title,Company_Name,Location,Date,Job_Description,Estimated_Salary
"Director II, Data Science, GRM Product Design & Modeling Pri...",Liberty Mutual Insurance,"Seattle, WA 98101 (Downtown area)",19 days ago,Maintain a knowledge of the latest developments in data science and identify ideas for application to business problems.,"$150,200 - $197,600 a year"
Data Engineer,Seen by Indeed,"St. Louis, MO",30+ days ago,Get started – Complete a 5-minute application to be considered for roles at hundreds of leading companies.Get career coaching – Level up with free 1:1 coaching…,
Business Analyst - Data Science,MedPro Group,"Fort Wayne, IN 46815 (Maplewood Park area)",Just posted,"Participate in developing functional requirements, testing, training and implementing data science solutions.Translate business needs, processes and procedures…",
"Senior Analyst, Data Science Integrations",Wayfair,"Boston, MA",30+ days ago,"Senior Analyst, Data Science Integrations.The team focuses on optimizing Wayfair s merchandising processes by defining a problem, building enablement of data…",
Data Scientist,Brains Workgroup,"Cambridge, MA 02140",3 days ago,"2+ years of industry experience in a Data Science or Analytics role.Our client, a leading internet travel company, is looking for a talented Data Scientist (Ad…",
Marketing Data Science Analyst (SQL/Python/Tableau/Alteryx),Tractor Supply Company,"Brentwood, TN 37027",30+ days ago,"The Marketing Data Science Analyst is responsible for creating, expanding, maintaining and analyzing optimized data that will be the foundation for cross…",
Data Warehouse Engineer,Seen by Indeed,"Kansas City, MO",30+ days ago,Get started – Complete a 5-minute application to be considered for roles at hundreds of leading companies.Get career coaching – Level up with free 1:1 coaching…,
Data Scientist - Entry Level,Numerdox,,30+ days ago,"As a Data Scientist you will be working on consulting side of our business.Bachelors, MS or PhD in a relevant field (Computer Science, Engineering, Statistics,…",
Artificial Intelligence (AI) Associate - Data Scientist,Penn State University,,Today,"Knowledge of data structures and data management methods is beneficial;Specifically, the Data Scientist will research state-of-the-art algorithms in machine…",
Data Scientist,Best Buy,,3 days ago,"Masters in Data Science, Statistics, Business Analytics, Computer Science, Math or related quantitative field.E-Commerce and analyzing clickstream data.",
Analytics and Data Science Internship Summer 2020,BAE Systems,,14 days ago,"This position is for an individual interested in data science, business intelligence, analytics and data visualization.Ability to work in a team.",
Business Analyst - Data Science,MedPro Group,,Just posted,"Participate in developing functional requirements, testing, training and implementing data science solutions.Translate business needs, processes and procedures…",
Data Science Practice Lead,Spotify,,1 day ago,"Preparing data for your own ad hoc data science projects, enterprise data warehousing and/or modeling data for software applications).",
Statistician/Data Analyst,Ann Arbor Pharmacometrics Group,,3 days ago,"Master’s degree in biostatistics, statistics, data science, a related field or commensurate experience required.The Ann Arbor Pharmacometrics Group Inc.","$50,000 - $70,000 a year"
Data Scientist,AQUASIGHT LLC,,30+ days ago,"Data acquisition, data transformation, data management, data and statistical modeling, time series, visualization, discovery, predictive analytics and machine…","$70,000 - $90,000 a year"
Data Scientist,Kaav inc.,,3 days ago,"Familiarity with statistical analysis, data visualization, and data cleansing tools and techniques.Data analytics using Python and Jupyter.",$50 - $60 an hour
Data Science Manager,Domino's,,5 days ago,"Master’s degree (or Bachelor’s degree with equivalent experience) in a quantitative science such as statistics, mathematics, computer science, engineering, etc.",
Enterprise Data and Analytics Engineer,Comerica Bank,"Auburn Hills, MI 48326",30+ days ago,"2 years of experience using SQL for analysis, report development and data modeling.Bachelor's Degree in Math, Science or Engineering or High School Diploma or…",
Data Science Modeler,Avero,"Boulder, CO 80301",30+ days ago,"As a Data Science Modeler, you will be a key player in building out and deploying ML algorithms within the Avero Data Science team.",
Data Science Manager,Big Fish Games,"Oakland, CA 94612",,Work with Data Science to inform development of predictive models that guide product decisions.3-5 years related experience as a lead/manager building and…,
"Director II, Data Science, GRM Product Design & Modeling Pri...",Liberty Mutual Insurance,"Seattle, WA 98101 (Downtown area)",,Maintain a knowledge of the latest developments in data science and identify ideas for application to business problems.,"$150,200 - $197,600 a year"
Data Scientist,Brains Workgroup,"Cambridge, MA 02140",3 days ago,"2+ years of industry experience in a Data Science or Analytics role.Our client, a leading internet travel company, is looking for a talented Data Scientist (Ad…",
Business Analyst - Data Science,MedPro Group,"Fort Wayne, IN 46815 (Maplewood Park area)",Just posted,"Participate in developing functional requirements, testing, training and implementing data science solutions.Translate business needs, processes and procedures…",
Enterprise Data and Analytics Engineer,Comerica Bank,"Auburn Hills, MI 48326",,"2 years of experience using SQL for analysis, report development and data modeling.Bachelor's Degree in Math, Science or Engineering or High School Diploma or…",
"Head of Data Science, Search",Wayfair,"Boston, MA",,"Wayfair Data Science powers automation & decision support across all Wayfair business units.Work cross-functionally with Wayfair engineering, data science &…",
Data Science Engineer (2 years exp required),ESS Analysis,"Natick, MA 01760",,"Data Science Engineer will also generate reports, presentations and recommendation based on the analyses.Efficiently mine large data sets using Python/Spark or…",
Data Science Internship,American Political Science Association (APSA),,7 days ago,"Program in political science or related other social science discipline with data science component.REQUIRED EDUCATION: BA in Economics, Computer Science,…",$25 an hour
Artificial Intelligence (AI) Associate - Data Scientist,Penn State University,,Today,"Specifically, the Data Scientist will research state-of-the-art algorithms in machine learning to identify viable project approaches, design prototypes that…",
Data Science and Analytics Research Fellowship - NIH,ORISE,,4 days ago,"As a Research Participant in the NIAID Data Analytics and Research Branch (DARB), the participant will receive training and hands-on-experience in applying and…","$67,600 - $88,421 a year"
Senior Data Engineer,digital dhara,,Today,Work with Data Scientists and build scripts to meet their data needs.Reproduce issues faced by Data Scientists.Data model development and Model scoring.,$65 an hour
Business Analyst - Data Science,MedPro Group,,Just posted,"Participate in developing functional requirements, testing, training and implementing data science solutions.Translate business needs, processes and procedures…",
Data Scientist,MRP,,Today,"B.S. in Statistics, Computer Science or related field.Experience with Big Data toolsDesired Skills & Experience.Experience with Java and SQL.","$120,000 a year"
Data Science Director,FAAZ Consulting,,5 days ago,Position Title: * Data Science Director.Data research: 8 years (Preferred).Improve data collection and presentation capabilities.,
2020 Corporate Data Science Summer Internship,Finish Line,,7 days ago,2020 CORPORATE DATA SCIENCE SUMMER INTERNSHIP.The Data Science Interns will have an opportunity to work cross functionally with numerous teams including…,
Student Trainee- Ops Research Data Science,US Other Agencies and Independent Organizations,,3 days ago,A. One year of specialized experience applying or using standard statistical methods and analyses found in college textbooks and/or data science/machine…,"$53,346 - $80,378 a year"
Google Cloud Data Engineer,DigiTransTEch,,3 days ago,Well versed creating Data Flows.Looking for Google CLoud Data Engineer.Experienced with Big Query and Machine Learning.Salary: $80.00 to $110.00 /hour.,$80 - $110 an hour
Data Engineer,Seen by Indeed,"St. Louis, MO",,Get started – Complete a 5-minute application to be considered for roles at hundreds of leading companies.Get career coaching – Level up with free 1:1 coaching…,
Data Science Modeler,Avero,"Boulder, CO 80301",,"As a Data Science Modeler, you will be a key player in building out and deploying ML algorithms within the Avero Data Science team.",
"Director II, Data Science, GRM Product Design & Modeling Pri...",Liberty Mutual Insurance,"Seattle, WA 98101 (Downtown area)",19 days ago,Maintain a knowledge of the latest developments in data science and identify ideas for application to business problems.,"$150,200 - $197,600 a year"
Business Analyst - Data Science,MedPro Group,"Fort Wayne, IN 46815 (Maplewood Park area)",Just posted,"Participate in developing functional requirements, testing, training and implementing data science solutions.Translate business needs, processes and procedures…",
Intern - Data Science (Summer 2020),MedPro Group,"Fort Wayne, IN 46815 (Maplewood Park area)",20 days ago,"Active pursuit of Data Science, Computer Science, Mathematics or related degree with at least two years completed (and one year remaining).",
